"Label (Grouping)","Owner-occupied housing units with a mortgage","Owner-occupied housing units with a mortgage!!VALUE","Owner-occupied housing units with a mortgage!!VALUE!!Less than $50,000","Owner-occupied housing units with a mortgage!!VALUE!!$50,000 to $99,999","Owner-occupied housing units with a mortgage!!VALUE!!$100,000 to $299,999","Owner-occupied housing units with a mortgage!!VALUE!!$300,000 to $499,999","Owner-occupied housing units with a mortgage!!VALUE!!$500,000 to $749,999","Owner-occupied housing units with a mortgage!!VALUE!!$750,000 to $999,999","Owner-occupied housing units with a mortgage!!VALUE!!$1,000,000 or more","Owner-occupied housing units with a mortgage!!VALUE!!Median (dollars)","Owner-occupied housing units with a mortgage!!MORTGAGE STATUS","Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!With a mortgage and either a second mortgage or home equity loan","Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!With a mortgage and either a second mortgage or home equity loan!!Only Second mortgage","Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!With a mortgage and either a second mortgage or home equity loan!!Only Home equity loan","Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!With a mortgage and either a second mortgage or home equity loan!!Both second mortgage and home equity loan","Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!No second mortgage and no home equity loan","Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!Home equity loan without a primary mortgage","Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Less than $10,000","Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$10,000 to $24,999","Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$25,000 to $34,999","Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$35,000 to $49,999","Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$50,000 to $74,999","Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$75,000 to $99,999","Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$100,000 to $149,999","Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more","Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars)","Owner-occupied housing units with a mortgage!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS","Owner-occupied housing units with a mortgage!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than 2.0","Owner-occupied housing units with a mortgage!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!2.0 to 2.9","Owner-occupied housing units with a mortgage!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!3.0 to 3.9","Owner-occupied housing units with a mortgage!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!4.0 or more","Owner-occupied housing units with a mortgage!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Not computed","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS!!Less than $200","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS!!$200 to $399","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS!!$400 to $599","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS!!$600 to $799","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS!!$800 to $999","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS!!$1,000 to $1,499","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS!!$1,500 to $1,999","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS!!$2,000 to $2,499","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS!!$2,500 to $2,999","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS!!$3,000 or more","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS!!Median (dollars)","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!Less than 20 percent","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!20 to 29 percent","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!30 percent or more","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!Less than 20 percent","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!20 to 29 percent","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!30 percent or more","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!Less than 20 percent","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!20 to 29 percent","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!30 percent or more","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!Less than 20 percent","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!20 to 29 percent","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!30 percent or more","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!Less than 20 percent","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!20 to 29 percent","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!30 percent or more","Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Zero or negative income","Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES","Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!Less than $800","Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!$800 to $1,499","Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!$1,500 or more","Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!No real estate taxes paid","Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!Median (dollars)"
"United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied housing units with a mortgage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","51,394,498","","1,364,980","2,239,802","17,465,505","14,821,206","8,279,894","3,627,546","3,595,565","354,100","","4,759,552","692,337","3,915,590","151,625","45,177,318","1,457,628","","1,062,260","2,046,875","1,932,933","3,623,347","7,259,646","7,263,620","11,767,574","16,438,243","108,421","","13,344,055","11,576,638","8,054,169","18,150,854","268,782","","55,371","213,892","755,737","2,141,006","3,702,089","12,310,997","11,198,800","7,692,780","4,859,660","8,464,166","1,775","","2,031,699","8,330","12,349","2,011,020","2,741,587","52,177","216,573","2,472,837","3,623,347","242,497","838,504","2,542,346","7,259,646","1,403,753","2,552,816","3,303,077","35,469,437","22,463,512","9,049,721","3,956,204","268,782","","4,175,333","6,706,221","38,791,044","1,721,900","3,237"
"        Margin of Error","±156,515","","±21,644","±24,147","±83,228","±72,671","±42,336","±31,277","±25,786","±637","","±37,041","±13,577","±34,826","±7,152","±131,773","±21,499","","±18,069","±26,488","±24,056","±31,378","±56,104","±45,365","±63,240","±76,177","±245","","±76,356","±67,868","±51,674","±78,594","±10,413","","±4,513","±8,210","±14,846","±26,703","±33,756","±58,936","±66,931","±50,511","±37,289","±46,087","±3","","±23,141","±1,623","±1,820","±22,842","±24,478","±3,726","±8,589","±23,075","±31,378","±6,387","±16,794","±27,174","±56,104","±23,027","±26,694","±37,379","±124,949","±104,265","±56,598","±38,369","±10,413","","±37,287","±48,007","±114,967","±24,297","±8"
"    Percent owner-occupied housing units with a mortgage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","51,394,498","","2.7%","4.4%","34.0%","28.8%","16.1%","7.1%","7.0%","354,100","","9.3%","1.3%","7.6%","0.3%","87.9%","2.8%","","2.1%","4.0%","3.8%","7.1%","14.1%","14.1%","22.9%","32.0%","108,421","","26.0%","22.5%","15.7%","35.3%","0.5%","","0.1%","0.4%","1.5%","4.2%","7.2%","24.0%","21.8%","15.0%","9.5%","16.5%","1,775","","4.0%","0.0%","0.0%","3.9%","5.3%","0.1%","0.4%","4.8%","7.1%","0.5%","1.6%","4.9%","14.1%","2.7%","5.0%","6.4%","69.0%","43.7%","17.6%","7.7%","0.5%","","8.1%","13.0%","75.5%","3.4%","3,237"
"        Margin of Error","±156,515","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±637","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±245","","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±3","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±8"
"Kansas City city, KS; Kansas City, MO-KS Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied housing units with a mortgage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,005","","823","1,575","13,322","2,485","690","0","110","186,300","","1,073","255","818","0","17,476","456","","519","798","1,183","2,173","3,823","3,490","4,545","2,474","81,017","","7,762","4,933","2,430","3,697","183","","40","0","282","1,156","1,695","7,411","5,072","1,844","1,212","293","1,433","","710","0","0","710","1,607","0","254","1,353","2,173","221","439","1,513","3,823","228","2,073","1,522","10,509","6,910","2,888","711","183","","1,732","3,159","13,482","632","2,488"
"        Margin of Error","±2,058","","±392","±665","±1,775","±893","±439","±185","±147","±12,447","","±412","±203","±355","±185","±2,037","±358","","±275","±489","±498","±730","±1,041","±968","±1,383","±716","±7,563","","±1,578","±1,259","±852","±953","±163","","±67","±185","±261","±541","±704","±1,305","±1,152","±740","±761","±238","±68","","±409","±185","±185","±409","±673","±185","±249","±637","±730","±281","±338","±650","±1,041","±157","±914","±573","±1,819","±1,221","±1,128","±342","±163","","±658","±933","±1,821","±363","±219"
"    Percent owner-occupied housing units with a mortgage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,005","","4.3%","8.3%","70.1%","13.1%","3.6%","0.0%","0.6%","186,300","","5.6%","1.3%","4.3%","0.0%","92.0%","2.4%","","2.7%","4.2%","6.2%","11.4%","20.1%","18.4%","23.9%","13.0%","81,017","","40.8%","26.0%","12.8%","19.5%","1.0%","","0.2%","0.0%","1.5%","6.1%","8.9%","39.0%","26.7%","9.7%","6.4%","1.5%","1,433","","3.7%","0.0%","0.0%","3.7%","8.5%","0.0%","1.3%","7.1%","11.4%","1.2%","2.3%","8.0%","20.1%","1.2%","10.9%","8.0%","55.3%","36.4%","15.2%","3.7%","1.0%","","9.1%","16.6%","70.9%","3.3%","2,488"
"        Margin of Error","±2,058","","±2.0","±3.4","±5.6","±4.4","±2.3","±0.7","±0.8","±12,447","","±2.2","±1.1","±1.9","±0.7","±2.8","±1.9","","±1.4","±2.5","±2.5","±3.9","±5.3","±4.8","±6.1","±3.7","±7,563","","±6.4","±6.3","±4.2","±4.9","±0.8","","±0.3","±0.7","±1.4","±2.9","±3.5","±6.2","±5.6","±3.5","±3.8","±1.2","±68","","±2.1","±0.7","±0.7","±2.1","±3.4","±0.7","±1.3","±3.2","±3.9","±1.5","±1.8","±3.4","±5.3","±0.8","±4.8","±2.8","±6.5","±5.3","±5.3","±1.8","±0.8","","±3.3","±4.6","±5.2","±1.9","±219"
